id,source_url,company_name,rating,reviews_count,hourly_rate,min_project_size,team_size,last_crawled_at,locations,services_offered,source,hourly_low,hourly_high,hourly_mid,min_project_usd,team_low,team_high,team_mid,svc_ai,svc_iot,svc_mobile
1,https://www.goodfirms.co/directory/platform/app-development,Detach Solutions,4.9,53,$25 - $49/hr,,50 - 249,2025-10-26 12:19:35.980241,"['Austin, Texas']",[],www.goodfirms.co,25.0,49.0,37.0,,50,249,149.5,0,0,0
2,https://www.goodfirms.co/directory/platform/app-development,Flyte Solutions,5.0,51,$25 - $49/hr,,50 - 249,2025-10-26 12:19:35.977804,"['Dhaka, Bangladesh']",[],www.goodfirms.co,25.0,49.0,37.0,,50,249,149.5,0,0,0
3,https://www.goodfirms.co/directory/platform/app-development,Evernetica,5.0,60,$25 - $49/hr,,10 - 49,2025-10-26 12:19:35.976949,"['Zaporizhia, Ukraine']",[],www.goodfirms.co,25.0,49.0,37.0,,10,49,29.5,0,0,0
4,https://www.goodfirms.co/directory/platform/app-development,AppsChopper,4.9,52,$50 - $99/hr,,50 - 249,2025-10-26 12:19:35.976097,"['NYC, New York']",[],www.goodfirms.co,50.0,99.0,74.5,,50,249,149.5,0,0,0
5,https://www.goodfirms.co/directory/platform/app-development,Metajive,5.0,82,NA,,2 - 9,2025-10-26 12:19:35.975223,"['Encinitas, California']",[],www.goodfirms.co,,,,,2,9,5.5,0,0,0
6,https://www.goodfirms.co/directory/platform/app-development,iB Arts Pvt. Ltd.,5.0,46,< $25/hr,,50 - 249,2025-10-26 12:19:35.974301,"['Pune, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
7,https://www.goodfirms.co/directory/platform/app-development,NipsApp Game Studios,5.0,37,< $25/hr,,50 - 249,2025-10-26 12:19:35.973413,"['Thiruvananthapuram, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
8,https://www.goodfirms.co/directory/platform/app-development,DigiNeat Smart Technologies,5.0,17,$50 - $99/hr,,50 - 249,2025-10-26 12:19:35.972487,"['Los Angeles, California']",[],www.goodfirms.co,50.0,99.0,74.5,,50,249,149.5,0,0,0
9,https://www.goodfirms.co/directory/platform/app-development,Peerbits,4.8,22,< $25/hr,,50 - 249,2025-10-26 12:19:35.971590,"['Ahmedabad, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
10,https://www.goodfirms.co/directory/platform/app-development,TechGropse Pvt. Ltd.,4.9,81,< $25/hr,,50 - 249,2025-10-26 12:19:35.970718,"['South Pasadena, California']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
11,https://www.goodfirms.co/directory/platform/app-development,ByteCipher Pvt Ltd,5.0,82,$25 - $49/hr,,10 - 49,2025-10-26 12:19:35.969811,"['Indore, India']",[],www.goodfirms.co,25.0,49.0,37.0,,10,49,29.5,0,0,0
12,https://www.goodfirms.co/directory/platform/app-development,Techmango Technology Services Private Limited,4.9,34,< $25/hr,,50 - 249,2025-10-26 12:19:35.968969,"['Chennai, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
13,https://www.goodfirms.co/directory/platform/app-development,AppMakers USA,5.0,87,$100 - $149/hr,,10 - 49,2025-10-26 12:19:35.968087,"['Los Angeles, California']",[],www.goodfirms.co,100.0,149.0,124.5,,10,49,29.5,0,0,0
14,https://www.goodfirms.co/directory/platform/app-development,Shaligram Infotech,5.0,18,< $25/hr,,50 - 249,2025-10-26 12:19:35.966846,"['Ahmedabad, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
15,https://www.goodfirms.co/directory/platform/app-development,Apptunix,4.7,14,$25 - $49/hr,,250 - 999,2025-10-26 12:19:35.965960,"['Mohali, India']",[],www.goodfirms.co,25.0,49.0,37.0,,250,999,624.5,0,0,0
16,https://www.goodfirms.co/directory/platform/app-development,Mobulous,4.8,65,< $25/hr,,50 - 249,2025-10-26 12:19:35.965083,"['Noida, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
17,https://www.goodfirms.co/directory/platform/app-development,iCoderz Solutions Pvt. Ltd.,4.6,29,< $25/hr,,50 - 249,2025-10-26 12:19:35.964198,"['Ahmedabad, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
18,https://www.goodfirms.co/directory/platform/app-development,SoluLab,5.0,97,$25 - $49/hr,,250 - 999,2025-10-26 12:19:35.963301,"['Los Angeles, California']",[],www.goodfirms.co,25.0,49.0,37.0,,250,999,624.5,0,0,0
19,https://www.goodfirms.co/directory/platform/app-development,Trigma,5.0,118,< $25/hr,,50 - 249,2025-10-26 12:19:35.962330,"['Mohali, India']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
20,https://www.goodfirms.co/directory/platform/app-development,Protolabz eServices,5.0,11,< $25/hr,,10 - 49,2025-10-26 12:19:35.950588,"['North Carolina, North Carolina']",[],www.goodfirms.co,0.0,25.0,12.5,,10,49,29.5,0,0,0
21,https://www.goodfirms.co/directory/platform/app-development,Tepia,5.0,37,$100 - $149/hr,,10 - 49,2025-10-26 12:19:35.949611,"['Costa Mesa, California']",[],www.goodfirms.co,100.0,149.0,124.5,,10,49,29.5,0,0,0
22,https://www.goodfirms.co/directory/platform/app-development,Emizen Tech Pvt Ltd,5.0,99,$25 - $49/hr,,50 - 249,2025-10-26 12:19:35.948716,"['Austin, Texas']",[],www.goodfirms.co,25.0,49.0,37.0,,50,249,149.5,0,0,0
23,https://www.goodfirms.co/directory/platform/app-development,AgileTech Vietnam,5.0,30,$25 - $49/hr,,50 - 249,2025-10-26 12:19:35.947031,"['Irvine, California']",[],www.goodfirms.co,25.0,49.0,37.0,,50,249,149.5,0,0,0
24,https://www.goodfirms.co/directory/platform/app-development,Promatics Technologies,5.0,72,< $25/hr,,50 - 249,2025-10-26 12:19:35.946123,"['NYC, New York']",[],www.goodfirms.co,0.0,25.0,12.5,,50,249,149.5,0,0,0
25,https://www.goodfirms.co/directory/platform/app-development,Kevych Solutions,5.0,17,$25 - $49/hr,,50 - 249,2025-10-26 12:19:35.944686,"['NYC, New York']",[],www.goodfirms.co,25.0,49.0,37.0,,50,249,149.5,0,0,0
26,https://www.goodfirms.co/directory/platform/app-development,TRIARE,5.0,9,$50 - $99/hr,,50 - 249,2025-10-26 12:19:35.943804,"['Fairfax, Virginia']",[],www.goodfirms.co,50.0,99.0,74.5,,50,249,149.5,0,0,0
27,https://www.goodfirms.co/directory/platform/app-development,Globaldev,4.8,6,$50 - $99/hr,,50 - 249,2025-10-26 12:19:35.942997,"['Warsaw, Poland']",[],www.goodfirms.co,50.0,99.0,74.5,,50,249,149.5,0,0,0
